run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points
2026-04-30 15:54:35,2,0.000076,0.000462,0.000538,3
2026-04-30 15:54:35,3,0.000054,0.000264,0.000319,5
2026-04-30 15:54:35,4,0.000081,0.000237,0.000318,9
2026-04-30 15:54:35,5,0.000115,0.000255,0.000370,13
2026-04-30 15:54:35,6,0.000158,0.000232,0.000390,19
2026-04-30 15:54:35,7,0.000210,0.000269,0.000479,25
2026-04-30 15:54:35,8,0.000271,0.000279,0.000551,33
2026-04-30 15:54:35,9,0.000332,0.000296,0.000628,41
2026-04-30 15:54:35,10,0.000405,0.000319,0.000724,51
2026-04-30 15:54:35,11,0.000485,0.000337,0.000823,61
2026-04-30 15:54:35,12,0.000576,0.000339,0.000915,73
2026-04-30 15:54:35,13,0.000665,0.000334,0.000999,85
2026-04-30 15:54:35,14,0.000771,0.000355,0.001126,99
2026-04-30 15:54:35,15,0.000881,0.000429,0.001310,113
2026-04-30 15:54:35,16,0.001045,0.000562,0.001606,129
2026-04-30 15:54:35,17,0.001129,0.000478,0.001607,145
2026-04-30 15:54:35,18,0.001256,0.000611,0.001868,163
2026-04-30 15:54:35,19,0.001558,0.000507,0.002064,181
2026-04-30 15:54:35,20,0.002029,0.000645,0.002674,201
2026-04-30 15:54:35,23,0.002354,0.001126,0.003480,265
2026-04-30 15:54:35,24,0.002197,0.000779,0.002976,289
2026-04-30 15:54:35,21,0.003179,0.002448,0.005627,221
2026-04-30 15:54:35,22,0.004784,0.000820,0.005604,243
2026-04-30 15:54:35,26,0.003191,0.000809,0.004000,339
2026-04-30 15:54:35,25,0.003092,0.001050,0.004142,313
2026-04-30 15:54:35,28,0.002998,0.000867,0.003865,393
2026-04-30 15:54:35,27,0.004842,0.001770,0.006612,365
2026-04-30 15:54:35,29,0.004659,0.007017,0.011676,421
2026-04-30 15:54:35,33,0.004264,0.002489,0.006753,545
2026-04-30 15:54:35,32,0.004107,0.004763,0.008870,513
