run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,ulp_step_adjusted,hp_3point_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-05-02 12:27:57,2,0.000436,0.000435,0.000871,3,1,0.500000000000,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,3,0.000316,0.000264,0.000580,5,3,0.633974596216,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,4,0.000651,0.000537,0.001188,9,3,0.600000000000,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,5,0.000602,0.000240,0.000843,13,3,0.585786437627,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,6,0.000896,0.000333,0.001229,19,7,0.646110632135,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,7,0.001040,0.000523,0.001563,25,5,0.625000000000,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,8,0.001532,0.000471,0.002004,33,5,0.612574113277,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,9,0.001859,0.000361,0.002220,41,11,0.651668522645,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,10,0.002156,0.000443,0.002600,51,7,0.636363636364,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,11,0.002427,0.000370,0.002797,61,7,0.625933303851,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,12,0.003140,0.000742,0.003882,73,9,0.617360894272,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,13,0.003292,0.000378,0.003670,85,9,0.642857142857,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,14,0.003962,0.000445,0.004407,99,9,0.633974596216,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,15,0.004362,0.000379,0.004741,113,11,0.656929669183,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,16,0.010441,0.000551,0.010992,129,11,0.647058823529,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,17,0.010423,0.000390,0.010813,145,11,0.639355090267,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,18,0.011377,0.000507,0.011884,163,11,0.631578947368,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,19,0.012825,0.000499,0.013324,181,15,0.650000000000,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,21,0.008659,0.000514,0.009173,221,15,0.636363636364,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,22,0.012630,0.003640,0.016270,243,17,0.652173913043,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,24,0.011414,0.002780,0.014193,289,17,0.640000000000,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,23,0.010497,0.004314,0.014811,265,17,0.646110632135,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,20,0.014741,0.008328,0.023069,201,13,0.643210827675,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,26,0.013458,0.000555,0.014013,339,21,0.648371295226,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,25,0.014615,0.000689,0.015304,313,17,0.634830452061,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,27,0.015772,0.000954,0.016725,365,17,0.642857142857,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,28,0.015850,0.000936,0.016786,393,19,0.638108799556,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,29,0.018062,0.001181,0.019243,421,23,0.650183396287,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,30,0.018954,0.001019,0.019972,451,19,0.645161290323,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,31,0.023052,0.000712,0.023764,481,21,0.640774297069,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,32,0.024276,0.000693,0.024969,513,27,0.651668522645,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,33,0.022263,0.000772,0.023035,545,23,0.647058823529,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,34,0.025220,0.001355,0.026576,579,21,0.642984250021,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,35,0.028805,0.002580,0.031385,613,27,0.639199718945,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,36,0.026762,0.001229,0.027990,649,27,0.648648648649,0,0,0,0,0.000000,0,0,0,0,1.0e+12
