run_started_at,n,tie_idx,tie_index_signed,tie_p,i,j,anomaly_flags,eps_floor_hit,ulp_adjust_left,ulp_adjust_right,deadzone_used,deadzone_flat_side,methods_tried,deadzone_resolution,resolution_path,resolution_failure_reason,extremum_type,extremum_ambiguous,dir_change
2026-05-02 14:56:14,326,24407,-2162,0.47529117296080114,29,285,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,326,24408,-2161,0.47529117296144424,127,183,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,326,28730,2161,0.52470882703855581,143,199,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,326,28731,2162,0.52470882703919897,41,297,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,425,39222,-5934,0.46052693209275375,82,313,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,475,21381,-35025,0.29458520657796944,67,221,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,475,21382,-35024,0.29458520657812576,120,160,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,475,91430,35024,0.70541479342187419,315,355,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,475,91431,35025,0.70541479342203062,254,408,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,528,55820,-13876,0.44018153668920046,98,373,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,528,55821,-13875,0.44018153668922017,44,435,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,528,83571,13875,0.55981846331077989,93,484,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,528,83572,13876,0.55981846331079954,155,430,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,554,46930,-29799,0.37979144137649851,149,274,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,554,46931,-29798,0.37979144137741433,184,237,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,554,106527,29798,0.62020855862258562,317,370,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,554,106528,29799,0.62020855862350144,280,405,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,559,99028,20908,0.58109563614511484,204,440,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,611,62243,-31087,0.39800791709782085,167,322,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,611,124416,31086,0.60199208289384176,265,466,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,612,68481,-25155,0.41862096298429607,27,513,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,612,68482,-25154,0.41862096325133613,65,464,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,612,118791,25155,0.58137903701570393,99,585,deadzone,0,0,0,1,both,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,657,100653,-7259,0.47981196975717771,181,451,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,657,115172,7260,0.52018803042063166,259,424,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,712,182381,55645,0.63745705820232634,449,459,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,minimum,0,1
2026-05-02 14:56:14,728,37855,-94641,0.25427705573908921,68,322,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,728,37856,-94640,0.25427705573917847,111,266,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,728,227136,94640,0.74572294426082164,462,617,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,728,227137,94641,0.74572294426091079,406,660,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,731,151622,18032,0.54032032271939501,159,622,deadzone,0,0,0,1,both,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,733,86669,-47653,0.39098777712702748,278,295,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
